,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_c1,param_c2,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
10,24.922601302464802,2.2536224588936133,4.608909050623576,0.3386817583973627,0.0,1.0,"{'c1': 0.0, 'c2': 1.0}",0.630519894382227,0.6309213438929607,0.5695445215948295,0.6103285866233391,0.028839154641039567,121,0.6056456053822395,0.6180451464238573,0.6470295010649386,0.6235734176236786,0.017341242598945227
8,23.844708760579426,1.8643913488189772,4.636227051417033,0.3812984696857465,0.0,0.8,"{'c1': 0.0, 'c2': 0.8}",0.6305822369918513,0.6307972261840359,0.5696069868995632,0.6103288166918168,0.0287948157522628,120,0.6056644880174292,0.6179589280121693,0.64700018125793,0.6235411990958429,0.017330727946952274
7,21.743504285812378,2.262908199311335,4.594193538029988,0.3292820270277856,0.0,0.7,"{'c1': 0.0, 'c2': 0.7}",0.6305822369918513,0.6307662043867414,0.5696694467490503,0.6103392960425477,0.02875802429661951,119,0.6056644880174292,0.6180069343473884,0.64700018125793,0.6235572012075826,0.017325587639533284
9,25.377331972122192,0.9513988505486739,4.648344198862712,0.46534448263903716,0.0,0.9,"{'c1': 0.0, 'c2': 0.9}",0.6306109441864699,0.6308903098868668,0.5695445215948295,0.6103485918893887,0.028853060216103454,118,0.6056789886994829,0.6180313199105145,0.6470295010649386,0.623579936558312,0.01733121611908386
6,24.74476472536723,1.3837419019117725,4.568010091781616,0.37179609074237124,0.0,0.6,"{'c1': 0.0, 'c2': 0.6}",0.6305535324107793,0.630833538234571,0.5696694467490503,0.6103521724648001,0.028767258351148014,117,0.6057079921467222,0.6179483738200688,0.6469562065293731,0.6235375241653881,0.01729706619875596
5,22.595638593037922,2.5634108115771475,5.6889181931813555,1.4814492997427915,0.0,0.5,"{'c1': 0.0, 'c2': 0.5}",0.6305535324107793,0.6308388238764873,0.5697070252805309,0.6103664605225991,0.028750798289880107,116,0.6056644880174292,0.617934551636209,0.6470028544243578,0.6235339646926653,0.01733455516650639
2,23.57446304957072,4.363692039331951,4.59715207417806,0.4138210895249499,0.0,0.2,"{'c1': 0.0, 'c2': 0.2}",0.6305535324107793,0.6308078076601603,0.569831914429164,0.6103977515000345,0.028684566313855037,115,0.6055542255207086,0.6178759953475887,0.6471241193394195,0.6235181134025723,0.017433476228882236
1,24.9425155321757,1.1971295067039767,4.5896806716918945,0.3947722659931429,0.0,0.1,"{'c1': 0.0, 'c2': 0.1}",0.6305535324107793,0.630844107959294,0.5698070374574348,0.610401559275836,0.02870490677899094,114,0.6055876086279955,0.6179516428459594,0.6470948012232416,0.6235446842323988,0.017400638747807135
0,22.623568534851074,3.062965356701295,4.586034536361694,0.34805748228716693,0.0,0.0,"{'c1': 0.0, 'c2': 0.0}",0.6305248304428968,0.6309114148068038,0.5697821626577028,0.6104061359691344,0.028725920554713173,113,0.6056398716905251,0.6179996421542316,0.6470948012232416,0.6235781050226662,0.017377518649517608
4,25.2755122979482,3.654236676098549,4.654675563176473,0.3450497526840015,0.0,0.4,"{'c1': 0.0, 'c2': 0.4}",0.6305535324107793,0.6308388238764873,0.569856793573175,0.6104163832868138,0.028680197420393756,111,0.6056499880296864,0.6179069091234427,0.6470335047459393,0.623530133966356,0.017356350560655816
3,24.30415439605713,2.179716217818949,4.650480508804321,0.3994169473886301,0.0,0.3,"{'c1': 0.0, 'c2': 0.3}",0.6305535324107793,0.6308388238764873,0.569856793573175,0.6104163832868138,0.028680197420393756,111,0.6055542255207086,0.6179069091234427,0.6471241193394195,0.6235284179945236,0.017430147054561446
77,24.090936104456585,3.021628907800971,4.602433443069458,0.33320046113817997,0.7,0.0,"{'c1': 0.7, 'c2': 0.0}",0.6400776411868009,0.6420374471511979,0.5934143960237863,0.6251764947872617,0.022473442078003912,110,0.6229270064156882,0.631275140331341,0.6751974869496927,0.6431332112322407,0.02292758408456225
80,23.088528474171955,0.9827398468251024,4.610422372817993,0.37149836706081285,0.7,0.3,"{'c1': 0.7, 'c2': 0.3}",0.6398890686387797,0.6423717722856999,0.5934143960237863,0.6252250789827553,0.02251637355476583,109,0.6229301830153965,0.6311985818826417,0.6752130829464348,0.6431139492814909,0.022947147847273044
79,23.572141726811726,2.951545550009449,7.429667949676514,3.992051000572572,0.7,0.2,"{'c1': 0.7, 'c2': 0.2}",0.6399852112025141,0.6423717722856999,0.5933880630130907,0.6252483488337682,0.022549682597653765,108,0.6229301830153965,0.6311674734665123,0.6752130829464348,0.6431035798094479,0.022952536276297678
78,26.942243337631226,1.3553992710760996,4.692509253819783,0.3517691375857373,0.7,0.1,"{'c1': 0.7, 'c2': 0.1}",0.6400776411868009,0.6423717722856999,0.5934143960237863,0.6252879364987624,0.022557448085310027,107,0.6228936664729808,0.631275140331341,0.6751824817518248,0.6431170961853823,0.022930387257277373
114,22.12276315689087,0.8921004865056277,4.526417334874471,0.3866329524103317,1.0,0.4,"{'c1': 1.0, 'c2': 0.4}",0.6391314391314392,0.6443842216199941,0.5926748057713652,0.6253968221742662,0.0232371211508914,106,0.6208900295385211,0.6310344827586206,0.6737990156434134,0.6419078426468517,0.022927605909415037
118,26.177406946818035,1.4254727188930345,4.50842825571696,0.358188657844126,1.0,0.8,"{'c1': 1.0, 'c2': 0.8}",0.6389761596747366,0.6445169385194479,0.5927011188066061,0.6253980723335969,0.02323062827405729,105,0.6207564530970023,0.631082276614568,0.6737532929703748,0.6418640075606484,0.022939784230113135
120,23.833797931671143,1.3342862081143598,4.534556706746419,0.3864654277333148,1.0,1.0,"{'c1': 1.0, 'c2': 1.0}",0.6389427964143793,0.6446139945788575,0.5926814104272139,0.625412733806817,0.023260055456946004,104,0.6206746252754437,0.6310965927135792,0.6736311738738531,0.6418007972876253,0.022906098264235165
119,23.118422508239746,2.4406137835133905,4.480289936065674,0.362801054007083,1.0,0.9,"{'c1': 1.0, 'c2': 0.9}",0.6390056831308044,0.6445816393113486,0.5927011188066061,0.625429480416253,0.023254133139017023,103,0.6207230549434584,0.6311109094621264,0.6737532929703748,0.6418624191253198,0.02294555521702274
117,22.10745072364807,1.1263162930433868,4.485679070154826,0.37418701418617034,1.0,0.7,"{'c1': 1.0, 'c2': 0.7}",0.6390980917617706,0.6445169385194479,0.5927011188066061,0.6254387163626083,0.023254443236363265,102,0.6207898496331631,0.631082276614568,0.673737723859041,0.6418699500355907,0.022922329283020456
116,25.260247468948364,2.8056386521272167,4.567575375239055,0.37311391425095103,1.0,0.6,"{'c1': 1.0, 'c2': 0.6}",0.6391609683977084,0.6445169385194479,0.5926748057713652,0.6254509042295072,0.023279119063939445,100,0.6208232445520581,0.631082276614568,0.673752801719158,0.6418861076285948,0.02291908344460366
115,25.284855604171753,2.326985462042665,4.560144344965617,0.35132260523959447,1.0,0.5,"{'c1': 1.0, 'c2': 0.5}",0.6391609683977084,0.6445169385194479,0.5926748057713652,0.6254509042295072,0.023279119063939445,100,0.6209050628314084,0.6310369076514757,0.6737990156434134,0.6419136620420992,0.022922629293271334
113,26.221041997273762,1.2496474390264711,4.561935663223267,0.31615968351298585,1.0,0.3,"{'c1': 1.0, 'c2': 0.3}",0.6391943084172597,0.6443842216199941,0.5927899129817084,0.6254561476729874,0.023195487584761965,99,0.6209083865969397,0.6310871192360907,0.6737990156434134,0.6419315071588146,0.022913681826902906
67,24.072186787923176,1.951768608518092,4.552581310272217,0.41909408082848326,0.6,0.1,"{'c1': 0.6, 'c2': 0.1}",0.6405578903616127,0.642174131857071,0.594018990149969,0.6255836707895508,0.022329350745181532,98,0.6229214570979064,0.6316315861253807,0.6760446261520338,0.6435325564584403,0.023262883079269176
74,24.652175823847454,3.5160408232077427,4.571877400080363,0.3906875171629992,0.6,0.8,"{'c1': 0.6, 'c2': 0.8}",0.6405838606864058,0.6422064522623182,0.5940980696694033,0.6256294608727092,0.02230589868573617,97,0.6229000242072138,0.6316315861253807,0.6757518362821637,0.6434278155382528,0.023132830655042146
72,24.84551803270976,2.0374523708188255,4.515387852986653,0.45451139132975,0.6,0.6,"{'c1': 0.6, 'c2': 0.6}",0.6405838606864058,0.6422064522623182,0.5941244341883376,0.6256382490456872,0.022293475816974453,96,0.623000024205456,0.6316315861253807,0.6757824229125766,0.6434713444144712,0.02311753029740888
73,30.12473440170288,4.5100706810521,4.64244023958842,0.37265281404241984,0.6,0.7,"{'c1': 0.6, 'c2': 0.7}",0.6405838606864058,0.6422064522623182,0.5941508010473527,0.6256470379986924,0.022281051851693014,95,0.6229182804027885,0.6316315861253807,0.6757824229125766,0.6434440964802486,0.023141678727448912
70,25.121403376261394,1.1811649890703153,4.481137990951538,0.3694865276087513,0.6,0.4,"{'c1': 0.6, 'c2': 0.4}",0.6404987300854307,0.642174131857071,0.5942755713334812,0.6256494777586609,0.02219524342520345,94,0.6228881250907682,0.6316626889419253,0.6757668144863268,0.6434392095063401,0.023138046237039314
69,21.906286398569744,0.3759181003945023,4.47189203898112,0.3900923703760561,0.6,0.3,"{'c1': 0.6, 'c2': 0.3}",0.6405578903616127,0.642174131857071,0.5942852072056084,0.6256724098080974,0.0222039099342162,92,0.6229032023818168,0.6314353903852711,0.6757668144863268,0.6433684690844715,0.023172385096849043
68,24.23785924911499,2.960034545062293,4.512685775756836,0.3808544219320084,0.6,0.2,"{'c1': 0.6, 'c2': 0.2}",0.6405578903616127,0.642174131857071,0.5942852072056084,0.6256724098080974,0.0222039099342162,92,0.6229214570979064,0.6316172292305944,0.6757817913067579,0.6434401592117529,0.023142889306399655
71,22.379270633061726,2.334454908074607,4.474334478378296,0.3363046923290346,0.6,0.5,"{'c1': 0.6, 'c2': 0.5}",0.640554272517321,0.6422064522623182,0.5943019437294755,0.625687556169705,0.02220322687754576,91,0.623000024205456,0.6316315861253807,0.6757824229125766,0.6434713444144712,0.02311753029740888
66,21.258482058842976,1.0765214373849952,4.443609158198039,0.36903509401058954,0.6,0.0,"{'c1': 0.6, 'c2': 0.0}",0.6405578903616127,0.642174131857071,0.594455533377689,0.6257291851987908,0.022123652995735026,90,0.6228579726982283,0.6316315861253807,0.6759053954175905,0.6434649847470665,0.023216793584191937
75,24.50080680847168,2.1826518670483255,4.596948703130086,0.42895904472215884,0.6,0.9,"{'c1': 0.6, 'c2': 0.9}",0.6408763172490294,0.6422387759210791,0.5941244341883376,0.625746509119482,0.02236710070052958,89,0.6236715326700074,0.6316459436728571,0.6757368566940773,0.6436847776789806,0.022896864917903728
108,25.04392671585083,2.919455176364382,4.588002681732178,0.33901646693077625,0.9,0.9,"{'c1': 0.9, 'c2': 0.9}",0.6395971914264598,0.6451677717500502,0.5924873457064204,0.6257507696276435,0.023630479886615943,88,0.6213808463251671,0.6320448509884922,0.6739065135516071,0.6424440702884221,0.022669278049549883
